551107,1,空间,营造空间的素静,['素静'],次卧的立面延续了白色和浅灰色的设计，营造空间的素静；落地玻璃带来充足的采光，因为生活需求用百叶窗做了遮光效果，也是利落有致；实木书桌和玩具收纳柜满足孩子的各种兴趣爱好，一把办公椅更是提高了生活的舒适度。
551107,2,玻璃,落地玻璃带来充足的采光,['充足'],次卧的立面延续了白色和浅灰色的设计，营造空间的素静；落地玻璃带来充足的采光，因为生活需求用百叶窗做了遮光效果，也是利落有致；实木书桌和玩具收纳柜满足孩子的各种兴趣爱好，一把办公椅更是提高了生活的舒适度。
551107,3,百叶窗,因为生活需求用百叶窗做了遮光效果,[],次卧的立面延续了白色和浅灰色的设计，营造空间的素静；落地玻璃带来充足的采光，因为生活需求用百叶窗做了遮光效果，也是利落有致；实木书桌和玩具收纳柜满足孩子的各种兴趣爱好，一把办公椅更是提高了生活的舒适度。
551107,5,书桌,实木书桌和玩具收纳柜满足孩子的各种兴趣爱好,[],次卧的立面延续了白色和浅灰色的设计，营造空间的素静；落地玻璃带来充足的采光，因为生活需求用百叶窗做了遮光效果，也是利落有致；实木书桌和玩具收纳柜满足孩子的各种兴趣爱好，一把办公椅更是提高了生活的舒适度。
551107,5,玩具,实木书桌和玩具收纳柜满足孩子的各种兴趣爱好,[],次卧的立面延续了白色和浅灰色的设计，营造空间的素静；落地玻璃带来充足的采光，因为生活需求用百叶窗做了遮光效果，也是利落有致；实木书桌和玩具收纳柜满足孩子的各种兴趣爱好，一把办公椅更是提高了生活的舒适度。
551107,5,孩子,实木书桌和玩具收纳柜满足孩子的各种兴趣爱好,[],次卧的立面延续了白色和浅灰色的设计，营造空间的素静；落地玻璃带来充足的采光，因为生活需求用百叶窗做了遮光效果，也是利落有致；实木书桌和玩具收纳柜满足孩子的各种兴趣爱好，一把办公椅更是提高了生活的舒适度。
551096,0,客厅,客厅以白色和浅灰色为基调,"['白色', '浅', '灰色']",客厅以白色和浅灰色为基调，新古典的石膏造型搭配背景墙的石雕设计，极具工艺之美；胡桃木色鱼骨纹路地板与中性色的窗帘组合，形成空间的沉静，而经典祖母绿丝绒沙发，搭配现代经典造型的千鸟格单人沙发和灰色绒面弧形榻凳，营造大气雅致韵味，古典之中，不乏现代时尚气息。
551096,0,基调,客厅以白色和浅灰色为基调,"['白色', '浅', '灰色']",客厅以白色和浅灰色为基调，新古典的石膏造型搭配背景墙的石雕设计，极具工艺之美；胡桃木色鱼骨纹路地板与中性色的窗帘组合，形成空间的沉静，而经典祖母绿丝绒沙发，搭配现代经典造型的千鸟格单人沙发和灰色绒面弧形榻凳，营造大气雅致韵味，古典之中，不乏现代时尚气息。
551096,1,石膏,新古典的石膏造型搭配背景墙的石雕设计,['新'],客厅以白色和浅灰色为基调，新古典的石膏造型搭配背景墙的石雕设计，极具工艺之美；胡桃木色鱼骨纹路地板与中性色的窗帘组合，形成空间的沉静，而经典祖母绿丝绒沙发，搭配现代经典造型的千鸟格单人沙发和灰色绒面弧形榻凳，营造大气雅致韵味，古典之中，不乏现代时尚气息。
551096,1,背景墙,新古典的石膏造型搭配背景墙的石雕设计,['新'],客厅以白色和浅灰色为基调，新古典的石膏造型搭配背景墙的石雕设计，极具工艺之美；胡桃木色鱼骨纹路地板与中性色的窗帘组合，形成空间的沉静，而经典祖母绿丝绒沙发，搭配现代经典造型的千鸟格单人沙发和灰色绒面弧形榻凳，营造大气雅致韵味，古典之中，不乏现代时尚气息。
